"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.069860083E0,-4.303229123E-1,-7.182243159E-1,1.198994958E-1
2.079850083E0,-4.406327230E-1,-7.032031113E-1,-1.196679461E-1
2.089840083E0,-7.695152146E-1,-4.095144260E-1,-1.439350605E-1
2.099830083E0,-1.157429441E0,-4.209124035E-1,-2.340090787E-1
2.109819083E0,-1.137955874E0,-3.771345922E-1,-3.123377949E-1
2.119809083E0,-9.422466427E-1,-2.412438387E-1,-3.618607879E-1
2.129799083E0,-8.336264259E-1,-3.840652969E-1,-4.393749869E-1
2.139788083E0,-6.946591598E-1,-4.156557566E-1,-6.173045897E-1
2.149778083E0,-5.221563578E-1,-1.594433382E-1,-6.453396499E-1
2.159768083E0,-4.703494424E-1,-1.486426538E-1,-6.592624551E-1
2.169757083E0,-3.820664263E-1,-4.715580618E-1,-1.017394474E0
2.179747083E0,-3.514392954E-1,-4.615581536E-1,-1.426041173E0
2.189737083E0,-5.226077628E-1,-3.469188130E-1,-1.556524714E0
2.199727083E0,-7.836491042E-1,-4.022171009E-1,-1.541533622E0
2.209716083E0,-8.779079747E-1,-2.456421143E-1,-1.432742082E0
2.219706083E0,-6.909695667E-1,2.265503705E-1,-8.879090524E-1
2.229696083E0,-4.973460370E-1,4.015791696E-1,-5.318405163E-1
2.239685083E0,-4.240500194E-1,2.634471783E-1,-5.999249107E-1
2.249675083E0,-3.237059516E-1,2.031407502E-1,-8.665415722E-1
2.259665083E0,-2.815101045E-1,1.931839652E-1,-1.013946370E0
2.269654083E0,-2.176269346E-1,1.985622342E-1,-9.677732474E-1
2.279644083E0,-2.551964647E-1,8.078922451E-2,-1.114721963E0
2.289634083E0,-5.067153230E-1,3.761265323E-2,-1.397513777E0
2.299624083E0,-6.079548919E-1,3.499514714E-2,-1.473976062E0
2.309613083E0,-4.764100814E-1,-8.515007794E-4,-1.440530573E0
2.319603083E0,-3.651486772E-1,-1.541400598E-1,-1.659033421E0
2.329593083E0,-3.982094193E-1,-2.872286814E-1,-1.806269234E0
2.339582083E0,-6.997895068E-1,-1.699276882E-1,-1.672390215E0
2.349572083E0,-1.076513917E0,-1.228475158E-1,-1.482699523E0
2.359562083E0,-1.251257664E0,-4.435039982E-2,-1.218314159E0
2.369551083E0,-1.043621867E0,6.701625422E-2,-1.114975732E0
2.379541083E0,-6.792143244E-1,8.175211474E-2,-1.151638944E0
2.389531083E0,-4.782086849E-1,1.398212519E-1,-1.069179170E0
2.399521083E0,-6.128916961E-1,2.415635352E-1,-1.034791110E0
2.409510083E0,-8.984211767E-1,4.473559977E-1,-1.221691511E0
2.419500083E0,-9.628843904E-1,5.228881368E-1,-1.267515555E0
2.429490083E0,-7.823776272E-1,3.723235032E-1,-1.372359055E0
2.439477042E0,-6.597112289E-1,3.179384042E-1,-1.671928870E0
2.449467042E0,-6.261119583E-1,2.988858368E-1,-1.830917587E0
2.459457042E0,-5.102818322E-1,2.320327199E-1,-1.735790405E0
2.469446042E0,-3.292885807E-1,2.068665960E-1,-1.518540616E0
2.479436042E0,-2.464101461E-1,4.469953707E-1,-1.291900783E0
2.489426042E0,-7.872866571E-2,5.173218799E-1,-1.228233376E0
2.499416042E0,3.260933697E-2,4.829028296E-1,-1.021135522E0
2.509405042E0,-1.413657939E-1,5.588539217E-1,-8.690956360E-1
2.519395042E0,-4.651615003E-1,5.245167325E-1,-9.428506601E-1
2.529385042E0,-8.515496036E-1,3.752028184E-1,-8.648055339E-1
2.539374042E0,-9.867243657E-1,3.178256992E-1,-7.104232532E-1
2.549364042E0,-7.390396728E-1,2.826352550E-1,-6.906748670E-1
2.559354042E0,-3.527366464E-1,2.930729735E-1,-6.123081440E-1
2.569343042E0,1.208765656E-2,2.673556034E-1,-4.482130533E-1
2.579333042E0,1.509783241E-1,2.163545805E-1,-2.629773545E-1
2.589323042E0,-2.067477514E-1,3.274749206E-1,-1.961530352E-1
2.599312042E0,-1.049738785E0,4.121243307E-1,-2.979553986E-1
2.609302042E0,-1.574276422E0,1.949835920E-1,-3.892953390E-1
2.619292042E0,-1.642004867E0,1.728492495E-1,-3.849859411E-1
2.629282042E0,-1.306980606E0,3.371307202E-1,-2.168504244E-1
2.639271042E0,-7.879999443E-1,3.743178423E-1,-6.293358207E-2
2.649261042E0,-2.768367174E-1,1.494793904E-1,-2.571014875E-1
2.659251042E0,4.983252995E-2,7.847431183E-2,-3.520614392E-1
2.669240042E0,1.285517670E-1,7.721949935E-2,-2.301487470E-1
2.679230042E0,-1.605918045E-1,4.366159782E-2,-1.336486387E-1
2.689220042E0,-5.268124590E-1,-4.966712683E-2,6.431644857E-2
2.699209042E0,-6.003410497E-1,-1.266360730E-2,3.542325103E-1
2.709199042E0,-4.296930210E-1,-2.646976054E-2,6.312484449E-1
2.719189042E0,3.227724253E-2,-3.348798345E-1,6.690775913E-1
2.729179042E0,2.830935488E-1,-5.035626505E-1,6.146984857E-1
2.739168042E0,5.292952599E-1,-6.734194413E-1,5.928193742E-1
2.749158042E0,5.796249859E-1,-8.539159718E-1,4.969449180E-1
2.759148042E0,-1.926173700E-1,-7.539882258E-1,3.182651174E-1
2.769137042E0,-7.989630351E-1,-6.162178847E-1,1.625590271E-1
2.779127042E0,-9.926674026E-1,-3.097397308E-1,8.393561125E-2
2.789117042E0,-1.011243934E0,-7.865849912E-2,-3.544465184E-2
2.799106042E0,-8.627554270E-1,-4.730748296E-2,-1.728372627E-1
2.809096042E0,-5.626295420E-1,1.382753943E-1,-1.622005928E-1
2.819086042E0,-1.066822961E0,3.924271077E-1,-3.281048119E-2
2.829076042E0,-1.320339886E0,2.818904659E-1,2.416028577E-1
2.839065042E0,-8.384720135E-1,2.189197540E-2,2.297002655E-1
2.849055042E0,-3.064739147E-1,-1.872836861E-1,5.644375741E-2
2.859045042E0,1.268011107E-1,-1.286308506E-1,-3.034938812E-1
2.869034042E0,3.850338882E-1,-9.693484873E-2,-4.752979410E-1
2.879024042E0,-3.820570707E-3,-2.322388342E-1,-3.876598728E-1
2.889014042E0,-5.480525064E-1,-3.303153518E-1,-8.958285213E-2
2.899004042E0,-8.081069840E-1,-3.327852157E-1,4.570651531E-2
2.908993042E0,-9.125059497E-1,-2.576458633E-1,7.111266732E-2
2.918983042E0,-9.640067634E-1,-2.295748428E-1,-7.235344648E-3
2.928973042E0,-1.062031825E0,2.320145935E-2,-3.804490864E-2
2.938962042E0,-1.158698579E0,2.522237402E-1,-3.183224201E-3
2.948952042E0,-1.122209030E0,2.675919771E-1,-2.365783453E-2
2.958942042E0,-1.180719924E0,4.286365753E-1,-2.665792394E-1
2.968931042E0,-1.415907363E0,6.939054537E-1,-4.338669097E-1
2.978921042E0,-1.447286592E0,6.802139059E-1,-4.709517056E-1
2.988911042E0,-1.313616026E0,5.529735231E-1,-7.072201484E-1
2.998900042E0,-1.215398883E0,4.504367495E-1,-1.016159542E0
3.008890042E0,-1.261029239E0,2.953165501E-1,-1.158354471E0
3.018880042E0,-1.145949310E0,2.781894708E-1,-8.741183943E-1
3.028870042E0,-8.173026077E-1,3.315061373E-1,-7.441125709E-1
3.038859042E0,-3.974155135E-1,1.998914525E-1,-8.608867300E-1
3.048849042E0,-1.381603503E-1,1.523155823E-1,-8.056954461E-1
3.058839042E0,-2.764205419E-1,3.958936295E-1,-5.037013757E-1
3.068828042E0,-6.461804795E-1,7.303371155E-1,-2.122574365E-1
3.078818042E0,-7.422310831E-1,7.793052077E-1,-1.432573682E-1
3.088808042E0,-5.178780963E-1,5.476198125E-1,-4.095547718E-1
3.098798042E0,-3.537618095E-1,2.661029837E-1,-7.408977717E-1
3.108787042E0,-3.820434760E-1,1.713930005E-1,-8.214262104E-1
3.118777042E0,-4.144190705E-1,1.290992126E-1,-8.047505361E-1
3.128767042E0,-5.698427403E-1,2.222324941E-1,-7.891051412E-1
3.138756042E0,-7.085275859E-1,2.655916446E-1,-7.745555145E-1
3.148746042E0,-6.163601182E-1,1.996011382E-1,-7.082229459E-1
3.158736042E0,-4.727967214E-1,3.101208231E-1,-4.675275761E-1
