"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.518365292E0,-7.006213814E-2,1.326896548E0,-4.571905136E-1
3.528355292E0,-6.961072981E-2,1.156627297E0,-3.700356185E-1
3.538344292E0,-3.138856590E-2,9.364939332E-1,-2.793028057E-1
3.548334292E0,3.771939874E-2,7.283194661E-1,-1.967365444E-1
3.558324292E0,1.101819351E-1,5.133653283E-1,-1.079725996E-1
3.568314292E0,1.539515257E-1,2.761423588E-1,-1.967602968E-2
3.578303292E0,1.642810702E-1,3.937566280E-2,4.781407118E-2
3.588293292E0,1.696326882E-1,-1.510664523E-1,1.145947054E-1
3.598283292E0,1.868303269E-1,-2.498473525E-1,1.820246130E-1
3.608272292E0,2.070298642E-1,-3.243144155E-1,2.419278920E-1
3.618262292E0,2.375908345E-1,-4.222415686E-1,2.942686677E-1
3.628252292E0,2.713075280E-1,-5.164980292E-1,3.030786514E-1
3.638241292E0,2.963179946E-1,-5.922971368E-1,2.646933794E-1
3.648231292E0,3.003937006E-1,-6.460919380E-1,2.472589910E-1
3.658221292E0,3.188909888E-1,-7.007750869E-1,2.833563685E-1
3.668211292E0,3.756525517E-1,-7.184525728E-1,3.180493712E-1
3.678200292E0,4.194537103E-1,-7.109708786E-1,3.331066072E-1
3.688190292E0,4.391408563E-1,-6.920613647E-1,3.446873426E-1
3.698180292E0,4.570672810E-1,-6.643460393E-1,3.352022767E-1
3.708169292E0,4.778130352E-1,-6.592761874E-1,3.223072290E-1
3.718159292E0,4.945041835E-1,-7.033066750E-1,3.141503334E-1
3.728149292E0,5.264251232E-1,-7.713206410E-1,3.018148243E-1
3.738138292E0,5.706023574E-1,-8.411110640E-1,3.039270937E-1
3.748128292E0,5.904034972E-1,-8.887544870E-1,3.168969750E-1
3.758118292E0,5.823438168E-1,-8.784822822E-1,3.549811244E-1
3.768108292E0,5.630388260E-1,-8.608207107E-1,4.278803468E-1
3.778097292E0,5.309316516E-1,-8.746721745E-1,4.941226244E-1
3.788087292E0,5.092551112E-1,-9.151093364E-1,5.454869866E-1
3.798077292E0,4.799620509E-1,-9.656894803E-1,5.401563048E-1
3.808066292E0,4.450762570E-1,-1.025615454E0,5.202097893E-1
3.818056292E0,4.051727057E-1,-1.059625268E0,4.842178226E-1
3.828046292E0,4.035385847E-1,-1.049776554E0,4.592325687E-1
3.838036292E0,4.287956059E-1,-1.031612992E0,4.635451734E-1
